,score_phrase,title,url,platform,score,genre,editors_choice,release_year,release_month,release_day
133,Okay,Ravaged,/games/ravaged-135376/pc-128650,PC,6.7,Shooter,N,2012,10,23
134,Okay,True Skate,/games/true-skate/iphone-145482,iPhone,6.7,Sports,N,2012,10,23
135,Amazing,Zero Escape: Virtue's Last Reward,/games/virtues-last-reward/3ds-116383,Nintendo 3DS,9.5,Adventure,Y,2012,10,23
136,Amazing,Zero Escape: Virtue's Last Reward,/games/virtues-last-reward/vita-116380,PlayStation Vita,9.5,Adventure,Y,2012,10,23
137,Amazing,The Walking Dead: The Game -- Episode 3: Long Road Ahead,/games/the-walking-dead-season-1-episode-3/ipad-135871,iPad,9.0,Adventure,Y,2012,10,22
138,Great,Skylanders Giants,/games/skylanders-giants/xbox-360-128140,Xbox 360,8.0,"Action, Adventure",N,2012,10,18
139,Great,Skylanders Giants,/games/skylanders-giants/wii-128141,Wii,8.0,"Action, Adventure",N,2012,10,18
140,Good,Borderlands 2: Captain Scarlett and her Pirate's Booty,/games/borderlands-2-captain-scarlett-and-her-pirates-booty/xbox-360-145420,Xbox 360,7.5,"Shooter, RPG",N,2012,10,18
141,Great,Devil's Attorney,/games/devils-attorney/android-145462,Android,8.3,Strategy,N,2012,10,17
142,Great,Devil's Attorney,/games/devils-attorney/iphone-145099,iPhone,8.3,Strategy,N,2012,10,17
143,Okay,Code of Princess,/games/code-of-princess-135813/3ds-125676,Nintendo 3DS,6.9,"Action, RPG",N,2012,10,17
144,Great,SunFlowers,/games/sun-flowers-134128/vita-132435,PlayStation Vita,8.0,Puzzle,N,2012,10,17
145,Bad,007 Legends,/games/007-legends/xbox-360-132394,Xbox 360,4.5,Action,N,2012,10,16
146,Amazing,Super Hexagon,/games/super-hexagon/iphone-143440,iPhone,9.0,Action,N,2012,9,19
147,Great,Machinarium,/games/machinarium/ps3-110942,PlayStation 3,8.0,Adventure,N,2012,9,18
148,Great,Final Fantasy Dimensions,/games/final-fantasy-dimensions/iphone-135306,iPhone,8.0,RPG,N,2012,9,18
149,Great,They Bleed Pixels,/games/they-bleed-pixels/pc-141012,PC,8.2,Platformer,N,2012,9,18
